Date,N10,N50,N60,N170,N180,N240,N250,N20,N30,N40,N70,N75,N80,N85,N90,N95,N100,N110,N120,N130,N140,N150,N160,N185,N190,N200,N210,N220,N230,N260,N265,N270,N280,N290,N295,N300,N310,N320,N330,N340,N350
1985-01-01,53.166400229524385,3980.5096101269637,50.2633522592689,12.057794603660934,0.0,14.682404713237585,3487.164333673388,15.511462420284127,9.619478347787034,9.834657931756633,83.55739435830361,3981.358076689567,51.55689922579753,6.6307497861650235,13.342807592409102,3892.9823460160565,40.23546247516075,1.2602626158194639,100.78255968186171,23.337816032063074,3849.7510889115265,34.13738294260367,143.85149547533408,0.0,0.0,0.0,0.0,6.96554541991065,3864.307099716873,3588.5486655673,8.444871607237483,9.366393939428997,2722.85148792892,7103.781419017049,4.2829470719595,6475.209772399223,429.2404945181423,6709.515025874683,667.2327802758027,429.2404945181423,6709.515025874683
1985-01-11,49.13731844989429,3523.8407423873796,50.2633522592689,12.020148442276176,0.0,14.670256809835422,3189.3921732764607,14.33596529534848,9.55294146226139,9.728371164889195,82.51977872516645,3524.678933453921,45.6430979266436,6.554631802756763,13.142700535255251,3446.4402846980365,35.620279370071984,1.225143148810368,91.42628705180863,20.660866703411994,3408.1678414141197,30.22167616761846,129.63409671987284,0.0,0.0,0.0,0.0,6.4726561987111975,3421.6285995772114,3288.9219613162395,8.262934583183547,9.238129929522668,2495.5063705779016,6382.994575197405,4.179871329611181,5818.201097776523,385.6875073083915,6029.28830664697,611.5220243257489,385.6875073083915,6029.28830664697
1985-01-21,44.3718885627723,3161.3475889678725,50.2633522592689,11.968434671582019,0.0,14.670256809835422,3159.433106664197,12.94563632269889,9.469269656883153,9.595106414201986,81.64723170839976,3162.176731427347,40.94884809052894,6.4895707266223,12.9728028277165,3091.984682941462,31.95684506804334,1.195564592862611,82.32998758660476,18.535961196508104,3057.6484407213275,27.113471316471855,116.61912293200311,0.0,0.0,0.0,0.0,5.834295660885647,3069.7759564450653,3258.870303167906,8.24405614037115,9.224913801834177,2472.7043384112335,5982.728629874273,4.119330553757687,5453.352321070554,361.50174733422745,5644.015545127969,605.9344028980092,361.50174733422745,5644.015545127969
1985-02-01,50.15529327296386,2889.381357026126,50.2633522592689,11.923431330827563,0.0,14.643657265755154,3243.794388151836,14.632962612162688,9.570092594908672,9.75574236194969,80.95920879160408,2890.2030752095316,37.426904543729755,6.437542549300767,12.837720670995376,2826.0481301765917,29.208289015510854,1.1722098926617437,85.41477069659199,16.941713446841586,2794.6650920720213,24.781485930136675,117.09714751030734,0.0,0.0,0.0,0.0,5.314153629651872,2805.7152098475594,3341.3926046924207,8.29560946617401,9.26104593681217,2535.3190588549987,5767.896463717043,4.085745813104067,5257.529384007343,348.52067995610247,5448.209458802496,621.2780946832943,348.52067995610247,5448.209458802496
1985-02-11,54.319358792100665,2905.7214930627742,50.2633522592689,11.882989804311014,0.0,14.583877742247768,3144.6939766584233,15.847841662405836,9.637884583442176,9.864108277780371,81.00143729598696,2906.543674709723,37.638508379780845,6.440755085379059,12.846040938795971,2842.0260111288267,29.37342653023504,1.1736441477400201,89.98462069687804,17.037498326684943,2810.4655399361923,24.921595232516626,121.97469959840932,0.0,0.0,0.0,0.0,4.873954588560327,2820.69393698022,3237.3934178457303,8.23048964660653,9.215427238189575,2456.408511154751,5698.226641173983,4.074680057109477,5194.024232432091,344.31093484748783,5391.614798811762,601.9411222598842,344.31093484748783,5391.614798811762
1985-02-21,45.2250719688843,2760.33161485684,50.2633522592689,11.812003588029487,0.0,14.505059283563362,2916.3911052956414,13.194555231716304,9.484684118434089,9.619623687727687,80.62141528059361,2761.1495875316914,35.755716589574064,6.411751728272553,12.771023304180275,2699.859292211188,27.904079079923292,1.160733058922351,78.7598817396075,16.185231237578503,2669.877571043846,23.6749418202936,108.93523212235812,0.0,0.0,0.0,0.0,4.161305605324572,2678.70399902531,3002.589794459903,8.077892670697382,9.109350019068613,2278.248632359814,5352.05571852071,4.018351936307667,4878.483929448628,323.3938247531779,5055.828240088515,558.2831733085937,323.3938247531779,5055.828240088515
1985-03-01,53.5191962699055,2884.7555199413637,50.2633522592689,11.73941477541457,0.0,14.371783591906677,2648.0835181399707,15.614391760972454,9.62513907393901,9.843713009167148,80.94723237637128,2885.577106491446,37.36700020997581,6.436630976057167,12.835360249846435,2821.524845858568,29.161539140924702,1.1718031040440418,88.90598495471046,16.914597069757885,2790.1920384640107,24.74182145822334,120.65200968403347,0.0,0.0,0.0,0.0,3.508120890455339,2797.794375268622,2724.248488785784,7.8857772996553805,8.977458206639405,2067.054049552884,5248.373720941336,4.00102195044064,4783.976139252469,317.1289202905407,4978.058686271342,506.5300941229783,317.1289202905407,4978.058686271342
1985-03-11,68.29582813134998,4397.158680857014,50.2633522592689,11.650740311110491,0.0,14.160347478108378,2359.329783250304,19.925520007903973,9.842408170170499,10.192706572324,84.45324844626255,4398.015635194555,56.9524379695445,6.695449200256297,13.513992032080935,4300.391197053834,44.44618887487179,1.2905387418758378,121.49329630306906,25.780167928439905,4252.635697294081,37.70993239850233,169.4250996346693,0.0,0.0,0.0,0.0,2.807737639931309,4259.124690164505,2421.466796077073,7.660506593308501,8.825191956569551,1837.3150493771068,6530.892632827346,4.201615856522613,5953.01253011037,394.6241329800937,6222.3388019093,450.23271892472127,394.6241329800937,6222.3388019093
1985-03-21,266.6323930108657,4669.28117257956,50.2633522592689,11.594152472818738,0.0,14.063937103401223,2349.552036821925,77.79082891381736,11.424185424815091,12.805252629627537,85.0155787199884,4670.1432876710805,60.4763757026084,6.735606800840171,13.62073511076718,4566.478327763456,47.19630120809274,1.3095227439981554,329.67429678135426,27.375318369169662,4515.767951732124,40.043238195901786,385.04710628880053,0.0,0.0,0.0,0.0,2.4135599011935964,4521.465005381705,2406.1731999053086,7.648617039930361,8.817227934625008,1825.710862009763,6791.19974182792,4.239122703775814,6190.28660100355,410.3529885857684,6757.598060484442,447.38912123521106,410.3529885857684,6757.598060484442
1985-04-01,172.48495212709085,6088.921646224666,50.2633522592689,12.102670919714512,0.0,13.834886916253204,2058.8973914610333,50.32302058129789,10.841601673653935,11.829843583255178,87.71431868073302,6089.806952273364,78.8604183032894,6.923882747975688,14.126009717453218,5954.629174062749,61.54337148014157,1.40042741142492,249.78992914212512,35.69706406340301,5888.503494081311,52.215869050679075,318.49942614627884,0.0,0.0,0.0,0.0,7.585035427011146,5904.9010925513885,2103.1226431364976,7.401287007485319,8.653227150864007,1595.7678582173935,7957.649560620103,4.396606333347215,7253.524167046448,480.8348161527877,7738.847271368309,391.0417550988185,480.8348161527877,7738.847271368309
